competition_id,league_name,country_id,tier,source_url,canonical_competition_id,prior_league_names

17LA,U17 DFB-Nachwuchsliga - Hauptrunde Liga A,40.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/17LA,,

17LB,U17 DFB-Nachwuchsliga - Hauptrunde Liga B,40.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/17LB,,

181F,U18 Divisie 1 Herbst,122.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/181F,,

181S,U18 Divisie 1 Frühling,122.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/181S,,

182F,U18 Divisie 2 Herbst,122.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/182F,,

182S,U18 Divisie 2 Frühling,122.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/182S,,

18GB,U18 Premier League - Final Stage,189.0,PlayoffRelegation,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/18GB,,

19D2,U19 DFB-Nachwuchsliga - Vorrunde Gruppe B,40.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/19D2,,

19D3,U19 DFB-Nachwuchsliga - Vorrunde Gruppe C,40.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/19D3,,

19D4,U19 DFB-Nachwuchsliga - Vorrunde Gruppe D,40.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/19D4,,

19D5,U19 DFB-Nachwuchsliga - Vorrunde Gruppe E,40.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/19D5,,

19D6,U19 DFB-Nachwuchsliga - Vorrunde Gruppe F,40.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/19D6,,

19D7,U19 DFB-Nachwuchsliga - Vorrunde Gruppe G,40.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/19D7,,

19D8,U19 DFB-Nachwuchsliga - Vorrunde Gruppe H,40.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/19D8,,

19D9,U19 DFB-Nachwuchsliga - Vorrunde Gruppe I,40.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/19D9,,

19LA,U19 DFB-Nachwuchsliga - Hauptrunde Liga A,40.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/19LA,,

19LB,U19 DFB-Nachwuchsliga - Hauptrunde Liga B,40.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/19LB,,

1LG4,1. Liga Gruppe 4 (bis 99/00),148.0,3,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/1LG4,CHPR,

211F,U21 Divisie 1 Herbst,122.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/211F,,

212F,U21 Divisie 2 Herbst,122.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/212F,,

212S,U21 Divisie 2 Frühling,122.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/212S,,

2DVB,2. Division B,141.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/2DVB,,

3PTP,Liga 3 - Finale,136.0,PlayoffRelegation,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/3PTP,,

510,Derde Divisie A,122.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/510,,

511,Derde Divisie B,122.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/511,,

A1,Bundesliga,127.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/A1,,

A2,2. Liga,127.0,2,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/A2,,

A2SW,National Premier League - New South Wales,12.0,2,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/A2SW,,

A2VI,National Premier League - Victoria,12.0,2,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/A2VI,,

A4B,Burgenlandliga,127.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/A4B,,

A4K,Kärntner Liga,127.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/A4K,,

A4N,1. Landesliga Niederösterreich,127.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/A4N,,

A4O,Oberösterreich Liga,127.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/A4O,,

A4S,Salzburger Liga,127.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/A4S,,

A4ST,Landesliga Steiermark,127.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/A4ST,,

A4T,Regionalliga Tirol,127.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/A4T,,

A4V,Eliteliga Vorarlberg,127.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/A4V,,

A4W,Wiener Stadtliga,127.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/A4W,,

ACFF,2de Nationale ACFF,19.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/ACFF,,

AJ1,A-Junioren Bundesliga Nord/Nordost (- 23/24),40.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/AJ1,,

AJ17,ÖFB Jugendliga U17 (- 2010),127.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/AJ17,,

AJ2,A-Junioren Bundesliga West (- 23/24),40.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/AJ2,,

AJ3,A-Junioren Bundesliga Süd/Südwest (- 23/24),40.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/AJ3,,

AL21,Kategoria Superiore U21,3.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/AL21,,

ALB1,Kategoria Superiore,3.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/ALB1,,

ALB2,Kategoria e Parë,3.0,2,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/ALB2,,

ALG1,Ligue 1,4.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/ALG1,,

ANCR,Championship Round,5.0,PlayoffRelegation,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/ANCR,,

AND1,Primera Divisió,5.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/AND1,,

AND2,Segona Divisió,5.0,2,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/AND2,,

ANPO,Primera Divisió Playoffs,5.0,PlayoffRelegation,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/ANPO,,

ANRR,Relegation Round,5.0,PlayoffRelegation,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/ANRR,,

AR18,U18 Patanekan Arajnutyun,10.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/AR18,,

AR1N,Liga Profesional de Fútbol (- 23/24),9.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/AR1N,,

AR3D,Primera División B Clausura,9.0,3,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/AR3D,,

AR3F,Federal A - Fase Campeonato,9.0,3,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/AR3F,,

AR3R,Federal A - Fase Reválida,9.0,3,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/AR3R,,

ARG1,Torneo Apertura,9.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/ARG1,,

ARG2,Primera Nacional,9.0,2,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/ARG2,,

ARG3,Torneo Federal A,9.0,3,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/ARG3,,

ARGC,Torneo Clausura,9.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/ARGC,,

ARM1,Premier League,10.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/ARM1,,

ARM2,Armenian First League,10.0,2,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/ARM2,,

ATRM,Regionalliga Mitte,127.0,3,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/ATRM,,

ATRO,Regionalliga Ost,127.0,3,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/ATRO,,

ATRW,Regionalliga West,127.0,3,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/ATRW,,

AUS1,A-League Men,12.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/AUS1,,

AZ1,Premyer Liqa,13.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/AZ1,,

B1AP,División Profesional Apertura,23.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/B1AP,,

BBPO,Landespokal Brandenburg,40.0,Cup,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BBPO,,

BCE2,Campeonato Cearense - Abstiegsrunde,26.0,StateChampionship,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BCE2,,

BCP1,Campeonato Paulista,26.0,Cup,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BCP1,,

