source_league_id,dest_league_id,source_league,dest_league,source_country_id,dest_country_id,source_tier,dest_tier,n_transfers,n_loans,fee_sum,fee_median,domestic_share
17LA,19LA,U17 DFB-Nachwuchsliga - Hauptrunde Liga A,U19 DFB-Nachwuchsliga - Hauptrunde Liga A,40.0,40.0,Youth,Youth,2,0,350000.0,350000.0,1.0
17LB,19LB,U17 DFB-Nachwuchsliga - Hauptrunde Liga B,U19 DFB-Nachwuchsliga - Hauptrunde Liga B,40.0,40.0,Youth,Youth,1,0,0.0,,1.0
181F,182F,U18 Divisie 1 Herbst,U18 Divisie 2 Herbst,122.0,122.0,Youth,Youth,2,0,0.0,,1.0
181F,182S,U18 Divisie 1 Herbst,U18 Divisie 2 Frühling,122.0,122.0,Youth,Youth,1,0,0.0,,1.0
181F,211F,U18 Divisie 1 Herbst,U21 Divisie 1 Herbst,122.0,122.0,Youth,Youth,5,0,0.0,,1.0
181F,212F,U18 Divisie 1 Herbst,U21 Divisie 2 Herbst,122.0,122.0,Youth,Youth,5,0,0.0,,1.0
181F,BE1,U18 Divisie 1 Herbst,Jupiler Pro League,122.0,19.0,Youth,1,1,0,0.0,,0.0
181F,DK1,U18 Divisie 1 Herbst,Superliga,122.0,39.0,Youth,1,1,1,0.0,,0.0
181F,DKDL,U18 Divisie 1 Herbst,U19 Drenge Ligaen,122.0,39.0,Youth,Youth,2,1,0.0,,0.0
181F,GB18,U18 Divisie 1 Herbst,U18 Premier League,122.0,189.0,Youth,Youth,2,0,350000.0,350000.0,0.0
181F,IJ2A,U18 Divisie 1 Herbst,Primavera 2 - A,122.0,75.0,Youth,Youth,1,0,0.0,,0.0
181F,ITJ8,U18 Divisie 1 Herbst,Campionato nazionale Under 17 2020/21,122.0,75.0,Youth,Youth,1,0,175000.0,175000.0,0.0
181F,NL2,U18 Divisie 1 Herbst,Keuken Kampioen Divisie,122.0,122.0,Youth,2,26,0,0.0,,1.0
181F,NTD,U18 Divisie 1 Herbst,Tweede Divisie,122.0,122.0,Youth,3,7,0,0.0,,1.0
181F,OBLC,U18 Divisie 1 Herbst,Hessenliga,122.0,40.0,Youth,5,1,0,0.0,,0.0
181F,UAE1,U18 Divisie 1 Herbst,UAE Pro League,122.0,183.0,Youth,1,1,0,0.0,,0.0
181F,VFVB,U18 Divisie 1 Herbst,2de Nationale VV B,122.0,19.0,Youth,4,1,0,0.0,,0.0
181F,WITHOUT_CLUB,U18 Divisie 1 Herbst,WITHOUT_CLUB,122.0,,Youth,,3,0,0.0,,0.0
181S,211F,U18 Divisie 1 Frühling,U21 Divisie 1 Herbst,122.0,122.0,Youth,Youth,1,0,0.0,,1.0
181S,212S,U18 Divisie 1 Frühling,U21 Divisie 2 Frühling,122.0,122.0,Youth,Youth,1,0,0.0,,1.0
181S,HBZO,U18 Divisie 1 Frühling,Vierde Divisie B Sonntag,122.0,122.0,Youth,5,1,0,0.0,,1.0
181S,NTD,U18 Divisie 1 Frühling,Tweede Divisie,122.0,122.0,Youth,3,3,0,0.0,,1.0
182F,181F,U18 Divisie 2 Herbst,U18 Divisie 1 Herbst,122.0,122.0,Youth,Youth,1,0,700000.0,700000.0,1.0
182F,211F,U18 Divisie 2 Herbst,U21 Divisie 1 Herbst,122.0,122.0,Youth,Youth,3,0,0.0,,1.0
182F,212F,U18 Divisie 2 Herbst,U21 Divisie 2 Herbst,122.0,122.0,Youth,Youth,2,0,0.0,,1.0
