league,league_name,country,standing_mv,throughput,up_cross_out,below_cross_in,bridge_score
AUS1,A-League Men,Australia,350000.0,1159.0,0.3683241252302026,0.44276094276094274,0.4038310747435418
BU1,efbet Liga,Bulgaria,300000.0,2176.0,0.33397312859884837,0.38235294117647056,0.35734522243018346
PL1,PKO BP Ekstraklasa,Poland,400000.0,3140.0,0.3268156424581006,0.37799043062200954,0.35147288007290994
RO1,SuperLiga,Romania,400000.0,3334.0,0.28168089297439264,0.41098169717138106,0.3402435766555572
FI1,Veikkausliiga,Finland,175000.0,1162.0,0.4938488576449912,0.20917431192660552,0.32140394364978037
UNG1,Nemzeti Bajnokság,Hungary,300000.0,1817.0,0.3417874396135266,0.28846153846153844,0.31399447552106396
AZ1,Premyer Liqa,Azerbaijan,350000.0,1134.0,0.2172043010752688,0.4519519519519519,0.3133143913760221
UAE1,UAE Pro League,UAE,300000.0,1480.0,0.51010101010101,0.1782857142857143,0.30156876984151215
KR1,SuperSport HNL,Croatia,350000.0,2609.0,0.3583941605839416,0.25040650406504067,0.29957341141888677
C1,Super League,Switzerland,450000.0,5080.0,0.2833588957055215,0.31490581490581493,0.2987161930042613
ISR1,Ligat ha'Al,Israel,400000.0,2008.0,0.3145589798087141,0.28356807511737087,0.29866182282849774
SER1,Super Liga Srbije,Serbia,300000.0,3004.0,0.36163522012578614,0.22443181818181818,0.2848902419729609
NL1,Eredivisie,Netherlands,600000.0,7412.0,0.275879917184265,0.28832429346274624,0.2820334770957415
FR1,Ligue 1,France,1500000.0,9786.0,0.17240053815106668,0.41405736807532295,0.2671773064494812
BE1,Jupiler Pro League,Belgium,650000.0,7905.0,0.12963417628283821,0.5423016290068313,0.26514302738926004
PO1,Liga Portugal,Portugal,600000.0,10453.0,0.22284434490481522,0.31485500098638786,0.26488423213701595
NO1,Eliteserien,Norway,350000.0,2473.0,0.30288461538461536,0.23102310231023102,0.26452475023746824
SL1,Prva Liga,Slovenia,200000.0,1600.0,0.40613496932515336,0.16774193548387098,0.2610093213321773
ZYP1,Cyprus League,Cyprus,350000.0,3552.0,0.20039421813403416,0.3202776400594943,0.25334124667242003
SE1,Allsvenskan,Sweden,350000.0,2697.0,0.3249279538904899,0.19708588957055215,0.2530587181640786
SLO1,Niké Liga,Slovakia,200000.0,2540.0,0.3613251155624037,0.17089125102207686,0.24849004210260753
GR1,Super League 1,Greece,400000.0,8157.0,0.24204904102937605,0.20924453280318092,0.22504985782188303
ES1,LaLiga,Spain,2000000.0,9940.0,0.08693941778127459,0.4735973597359736,0.2029144615797366
DK1,Superliga,Denmark,350000.0,4505.0,0.23475736209041892,0.17234757561209793,0.2011463701222946
BOS1,Premijer Liga Bosne i Hercegovine,Bosnia & Herz.,200000.0,1206.0,0.2602965403624382,0.15294117647058825,0.19952458273169063
JAP1,J1 League,Japan,600000.0,1530.0,0.1484480431848853,0.26813471502590674,0.19950958311703407
L1,Bundesliga,Germany,2000000.0,7674.0,0.07561728395061729,0.4990659194021884,0.19426273275518174
KAS1,Premier Liga,Kazakhstan,300000.0,1478.0,0.18700475435816163,0.19691577698695137,0.19189629101337885
UKR1,Premier Liga,Ukraine,400000.0,5136.0,0.15455551457026928,0.22965116279069767,0.18839812535366948
