league_id,league_name,country,throughput,in_strength,out_strength
BRA1,Campeonato Brasileiro Série A,Brazil,14237.0,6581.0,7656.0
TR1,Süper Lig,Turkey,12396.0,6272.0,6124.0
PO1,Liga Portugal,Portugal,10468.0,5082.0,5386.0
GR1,Super League 1,Greece,8173.0,4035.0,4138.0
BE1,Jupiler Pro League,Belgium,7913.0,3823.0,4090.0
NL1,Eredivisie,Netherlands,7435.0,3543.0,3892.0
MLS1,Major League Soccer,USA,6551.0,3299.0,3252.0
RU1,Premier Liga,Russia,6528.0,3254.0,3274.0
MEXA,Liga MX Apertura,Mexico,6427.0,3208.0,3219.0
TS1,Chance Liga,Czech Rep.,6121.0,2942.0,3179.0
AR1N,Liga Profesional de Fútbol (- 23/24),Argentina,5827.0,2590.0,3237.0
UKR1,Premier Liga,Ukraine,5179.0,2424.0,2755.0
C1,Super League,Switzerland,5098.0,2467.0,2631.0
ARGC,Torneo Clausura,Argentina,4564.0,2073.0,2491.0
DK1,Superliga,Denmark,4528.0,2091.0,2437.0
A1,Bundesliga,Austria,4346.0,2115.0,2231.0
CSL,Chinese Super League,China,3701.0,1854.0,1847.0
ZYP1,Cyprus League,Cyprus,3568.0,2026.0,1542.0
RO1,SuperLiga,Romania,3339.0,1809.0,1530.0
PL1,PKO BP Ekstraklasa,Poland,3146.0,1695.0,1451.0
URUC,Liga AUF Clausura,Uruguay,3140.0,1440.0,1700.0
SER1,Super Liga Srbije,Serbia,3010.0,1412.0,1598.0
SA1,Saudi Pro League,Saudi Arabia,2950.0,1578.0,1372.0
SE1,Allsvenskan,Sweden,2704.0,1311.0,1393.0
KR1,SuperSport HNL,Croatia,2616.0,1235.0,1381.0
SLO1,Niké Liga,Slovakia,2545.0,1233.0,1312.0
NO1,Eliteserien,Norway,2484.0,1224.0,1260.0
COL1,Liga Dimayor Finalización,Colombia,2212.0,1055.0,1157.0
BU1,efbet Liga,Bulgaria,2183.0,1133.0,1050.0
ISR1,Ligat ha'Al,Israel,2014.0,1066.0,948.0
UNG1,Nemzeti Bajnokság,Hungary,1822.0,990.0,832.0
SL1,Prva Liga,Slovenia,1604.0,782.0,822.0
JAP1,J1 League,Japan,1533.0,783.0,750.0
UAE1,UAE Pro League,UAE,1495.0,886.0,609.0
QSL,Qatar Stars League,Qatar,1489.0,775.0,714.0
KAS1,Premier Liga,Kazakhstan,1484.0,847.0,637.0
WER1,Vysheyshaya Liga,Belarus,1380.0,687.0,693.0
CLPD,Liga de Primera,Chile,1325.0,667.0,658.0
PR1C,Primera División Clausura,Paraguay,1289.0,653.0,636.0
BOS1,Premijer Liga Bosne i Hercegovine,Bosnia & Herz.,1209.0,598.0,611.0
RSK1,K League 1,South Korea,1188.0,604.0,584.0
AUS1,A-League Men,Australia,1166.0,609.0,557.0
FI1,Veikkausliiga,Finland,1165.0,579.0,586.0
AZ1,Premyer Liqa,Azerbaijan,1141.0,669.0,472.0
CHL1,Torneo Clausura (-2017),Chile,1077.0,516.0,561.0
LET1,Virsliga,Latvia,985.0,495.0,490.0
IR1,League of Ireland Premier Division,Ireland,880.0,445.0,435.0
TDeC,Liga 1 Clausura,Peru,879.0,505.0,374.0
ARM1,Premier League,Armenia,841.0,464.0,377.0
LI1,A Lyga,Lithuania,825.0,402.0,423.0
ALB1,Kategoria Superiore,Albania,751.0,421.0,330.0
THA1,Thai League,Thailand,718.0,430.0,288.0
EL1A,LigaPro Serie A Primera Etapa,Ecuador,684.0,340.0,344.0
ECSE,Serie A Segunda Etapa (bis 2018),Ecuador,673.0,340.0,333.0
MAR1,Botola Pro Inwi,Morocco,666.0,331.0,335.0
TUN1,Ligue 1,Tunisia,663.0,273.0,390.0
IS1,Besta deild,Iceland,659.0,351.0,308.0
EGY1,Egyptian Premier League,Egypt,647.0,339.0,308.0
MAL1,Premier League (-2024),Malta,630.0,347.0,283.0
LUX1,BGL Ligue,Luxembourg,626.0,369.0,257.0
IRN1,Persian Gulf Pro League,Iran,581.0,327.0,254.0
GE1N,Erovnuli Liga,Georgia,578.0,301.0,277.0
PDV1,Primera División Clausura,Costa Rica,572.0,287.0,285.0
UZ1,O'zbekiston Superligasi,Uzbekistan,527.0,276.0,251.0
VZ1C,Liga FUTVE Clausura,Venezuela,513.0,248.0,265.0
MAZ1,Prva Makedonska Fudbalska Liga,N. Macedonia,506.0,251.0,255.0
ALG1,Ligue 1,Algeria,476.0,253.0,223.0
IND1,Indian Super League,India,437.0,267.0,170.0
EST1,Premium Liiga,Estonia,428.0,211.0,217.0
IN1L,Super League,Indonesia,425.0,296.0,129.0
MOL1,Divizia Nationala (-2017),Moldova,369.0,184.0,185.0
BO1A,División Profesional,Bolivia,341.0,189.0,152.0
GEO1,Umaghlesi Liga (bis 12/2016),Georgia,327.0,143.0,184.0
HOC1,Liga Nacional Clausura,Honduras,326.0,172.0,154.0
MNE1,Meridianbet 1. CFL,Montenegro,306.0,144.0,162.0
